Code,Name,Category,Subcategory,Size,Price,Description,Icon,Image_URLs
DEZ6501,LED Frame,LED Gifts,LED Frame,7x7 Inch,750,"Personalised acrylic LED frame with your custom name or design engraved and softly backlit. A striking desktop night light that makes a memorable birthday, anniversary or housewarming gift.",,/pages_7_to_26_products/page7_01.png
EEZ6501,LED Frame UV Print,LED Gifts,UV Print,5x7 Inch,850,"UV printed LED frame featuring a full-colour custom photo or artwork on an illuminated acrylic base. Vivid, durable print quality ideal for personalised gifting.",,/pages_7_to_26_products/page7_02.png
FEZ6501,LED Frame UV Photo,LED Gifts,UV Print,"5x7 Inch, 7x7 Inch",850,"Round LED photo frame with a UV printed portrait glowing from within. A charming keepsake for couples, family photos or special occasion memories.",,/pages_7_to_26_products/page7_03.png
FEZ6501,LED Engraving Photo,LED Gifts,Engraving,7x7 Inch,850,"Laser engraved photo on an illuminated acrylic stand, capturing fine portrait detail in crisp monochrome. A elegant lit-up memento for gifting.",,/pages_7_to_26_products/page7_04.png
BZZ4501,Magic Mirror,LED Gifts,Magic Mirror,,350,"Two-way magic mirror that reveals a hidden personalised photo when lit from behind. A playful, romantic keepsake perfect for couples and anniversaries.",,/pages_7_to_26_products/page7_05.png
BZZ4501,Magic Mirror Tabletop,LED Gifts,Magic Mirror,5x7 Inch,350,Compact tabletop magic mirror with a concealed custom photo that appears when switched on. A fun surprise-style personalised gift.,,/pages_7_to_26_products/page7_06.png
CEZ6501,MDF Frame,LED Gifts,MDF,8x12 Inch,550,Custom photo printed on an MDF panel with decorative starburst accents and warm LED backlighting. A budget-friendly personalised night light frame.,,/pages_7_to_26_products/page7_07.png
FEZ6501,Led Table Top,LED Gifts,LED,5x7 Inch,850,"Acrylic LED table top display with a laser-cut custom message and photo cutout, lit from a wooden base. A thoughtful personalised desk decor piece.",,/pages_7_to_26_products/page7_08.png
FEZ6701,Led Table Top Heart,LED Gifts,LED,12x12 Inch,850,"Heart-shaped LED table top with custom names, a date and photo cutout, glowing warmly from its wooden base. A romantic keepsake for anniversaries and weddings.",,/pages_7_to_26_products/page7_09.png
DEZ6701,Led Table Top MDF,LED Gifts,MDF,12x12 Inch,750,"Circular MDF LED table top featuring a custom photo silhouette and personalised text, illuminated from a wooden stand. A heartfelt personalised gift.",,/pages_7_to_26_products/page7_10.png
DEZ6701,Led Table Top Acrylic,LED Gifts,Acrylic,12x12 Inch,1100,"Premium acrylic version of our circular LED table top, offering a glossier finish and sharper backlit clarity for a custom photo and message.",,/pages_7_to_26_products/page7_11.png
HZZ6801,Led Table Top Name Cutout,LED Gifts,MDF,12x18 Inch,900,"Personalised LED name cutout table top with a custom photo insert, crown accents and warm LED lighting. Popular for couple and family gifting.",,/pages_7_to_26_products/page7_12.png
FEZ6501,Led Table Top Letter Blocks,LED Gifts,MDF,8x12 Inch,650,"Set of illuminated MDF letter blocks spelling out a custom name, each lit from within. A decorative, personalised LED display for any room.",,/pages_7_to_26_products/page7_13.png
JZZ4501,Acrylic Name Plate,Name Plates,Acrylic,15x24 Inch,1800,"Premium acrylic name plate with a polished finish, custom engraved names and elegant border detailing. Ideal for home entrances and office doors.",,/pages_7_to_26_products/page8_01.png
GZZ4801,Acrylic Name Plate Compact,Name Plates,Acrylic,8x15 Inch,1000,"Compact acrylic name plate finished with a sleek border design and custom family names. A durable, weatherproof choice for apartment doors.",,/pages_7_to_26_products/page8_02.png
GZZ4801,Acrylic Name Plate Horizontal,Name Plates,Acrylic,6x12 Inch,1000,"Horizontal acrylic name plate with custom engraved lettering, suited for smaller entryways while retaining a premium polished look.",,/pages_7_to_26_products/page8_03.png
JZZ4501,Acrylic Name Plate Large,Name Plates,Acrylic,12x18 Inch,1800,"Large-format acrylic name plate with decorative motifs and custom names, designed to make a strong first impression at your doorstep.",,/pages_7_to_26_products/page8_04.png
DEZ4501,Acrylic Name Plate Slim,Name Plates,Acrylic,12x6 Inch,600,"Slim, budget-friendly acrylic name plate with clean custom lettering, well suited to smaller doors and gates.",,/pages_7_to_26_products/page8_05.png
EEZ4501,Acrylic Name Plate Standard,Name Plates,Acrylic,8x12 Inch,800,Standard-size acrylic name plate offering a smooth glossy finish and custom engraved family or individual names.,,/pages_7_to_26_products/page8_06.png
BEZ4501,MDF Name Plate,Name Plates,MDF,6x12 Inch,400,"Affordable MDF name plate with custom names cut and finished for a warm, natural wood-toned look. Great value for everyday use.",,/pages_7_to_26_products/page8_07.png
GEZ4501,Acrylic Name Plate Wide,Name Plates,Acrylic,12x18 Inch,1200,"Wide acrylic name plate with a bold custom design, offering excellent visibility and a long-lasting glossy finish.",,/pages_7_to_26_products/page8_08.png
DEZ4501,Acrylic Name Plate Square,Name Plates,Acrylic,12x12 Inch,900,"Square-format acrylic name plate with a contemporary layout, custom engraved names and a durable polished surface.",,/pages_7_to_26_products/page8_09.png
